BV1Xu411S7WQ,在2022年之前看完这个视频！(看简介),怠惰的小安,2021-12-29 11:55:58,总播放数1676045,历史累计弹幕数389152,点赞数307639,7.4万,7.1万,4445,生活·搞笑,145,12.24 - 12.30
BV1eF411B7nT,“这游戏……也太好玩了吧！”,老番茄,2021-12-24 19:38:08,总播放数3192571,历史累计弹幕数9114,点赞数295309,7.7万,3.5万,2516,游戏·单机游戏,145,12.24 - 12.30
BV1XP4y1H723,【周杰伦】五首连唱《三年二班+她的睫毛》、《等你下课》、《我的地盘+七里香》|动感地带·15th咪咕,中国移动动感地带,2021-12-25 21:55:46,总播放数1542148,历史累计弹幕数14356,点赞数124834,9.7万,4.2万,2.7万,音乐·音乐现场,145,12.24 - 12.30
BV1j34y1z7M6,沉  浸  式  催  逝  员,豆豆豆豆逗是我,2021-12-28 12:00:02,总播放数4713411,历史累计弹幕数7131,点赞数395212,12.6万,10.2万,4.8万,生活·搞笑,145,12.24 - 12.30
BV1Su411S7iv,花高价刷的墙，居然在让我每天都照X光片？！【老爸评测】,老爸评测,2021-12-29 18:53:48,总播放数3732680,历史累计弹幕数7788,点赞数431434,21.9万,12.0万,7.5万,生活·家居房产,145,12.24 - 12.30
BV1Wu411S7mr,【医学博士】住手！不要再伤害你的眼睛 I 隐形眼镜怎么选？,兔叭咯,2021-12-23 19:38:06,总播放数3686929,历史累计弹幕数4073,点赞数132933,4.2万,4.7万,9909,知识·科学科普,145,12.24 - 12.30
BV1Sg411w7T9,【官方MV】宇多田光 - 《One Last Kiss》（电影《新·福音战士剧场版：终》主题曲）,宇多田光,2021-12-25 12:00:09,总播放数876500,历史累计弹幕数1151,点赞数111066,7.7万,5.8万,9229,音乐·MV,145,12.24 - 12.30
BV1SS4y1M75t,【孤勇者】那一天 他们变成了光,央视新闻,2021-12-28 12:43:00,总播放数2693379,历史累计弹幕数1903,点赞数239202,8.6万,4.2万,5415,资讯·社会,145,12.24 - 12.30
BV1GZ4y1X7om,【圣 诞 烧 鸡 舞 】,星有野,2021-12-25 16:59:16,总播放数2388904,历史累计弹幕数947,点赞数263785,14.1万,8.2万,6186,动画·短片·手书·配音,145,12.24 - 12.30
BV1zS4y1Q7kq,2021年，漠叔都干了什么,大漠叔叔,2021-12-24 12:00:11,总播放数2288895,历史累计弹幕数20422,点赞数295237,23.0万,3.6万,2404,生活·日常,145,12.24 - 12.30
BV12D4y1c76E,《原神》2.4版本PV：「飞彩镌流年」_手机游戏热门视频,原神,2021-12-26 20:40:13,总播放数4052638,历史累计弹幕数31668,点赞数257858,12.9万,5.7万,5.7万,游戏·手机游戏,145,12.24 - 12.30
BV1kL41157kH,当我把B站100个热门视频剪在一起......,热门菌,2021-12-30 22:34:29,总播放数1996312,历史累计弹幕数7570,点赞数218405,8.7万,6.2万,9915,生活·日常,145,12.24 - 12.30
BV16F411i737,彩蛋全是梗！官方整活把2021都藏进了清明上河图,央视网,2021-12-29 13:29:25,总播放数2334392,历史累计弹幕数46529,点赞数314864,25.4万,13.7万,5.8万,资讯·社会,145,12.24 - 12.30
BV1zL4y1n7Jv,【唐诗逸新舞】洛阳旧事，一舞盛唐。国家队带你看真正的绝对演绎！【超清4k美颜暴击】,绝对演绎,2021-12-23 10:00:16,总播放数2900717,历史累计弹幕数7260,点赞数197435,9.7万,9.7万,3.4万,舞蹈·中国舞,145,12.24 - 12.30
BV1jY411p7vo,把-196℃的辣椒，撒上刚出锅的肠粉，居然。。,绵羊料理,2021-12-29 17:50:19,总播放数3554336,历史累计弹幕数8941,点赞数351531,15.8万,3.1万,4881,美食·美食制作,145,12.24 - 12.30
BV1EF411i7eg,【冰冰vlog.007】和大家聊聊这一年我所经历的事,吃花椒的喵酱,2021-12-31 11:30:15,总播放数2484316,历史累计弹幕数31501,点赞数356294,25.1万,7.0万,1.6万,生活·日常,145,12.24 - 12.30
BV16F411B744,最能让带英破防的人是谁？【硬核狠人21】,小约翰可汗,2021-12-25 11:00:06,总播放数4012613,历史累计弹幕数41336,点赞数340793,28.2万,8.4万,2.9万,知识·人文历史,145,12.24 - 12.30
BV1xa41167gV,标准粤语，高手过招,这个网名里得带个龙字,2021-12-23 09:37:50,总播放数4893689,历史累计弹幕数23258,点赞数224528,7.0万,5.1万,7.3万,生活·日常,145,12.24 - 12.30
BV1f34y167NR,【腾格尔对《热爱105℃的你》下手了】耳朵听完，烫到嘴了！,腾格尔,2021-12-24 12:28:49,总播放数6473245,历史累计弹幕数8208,点赞数430783,11.2万,7.4万,12.9万,娱乐·明星综合,145,12.24 - 12.30
BV1Y44y177qa,自制安保巡逻机甲，老年人使用都没问题,手工耿,2021-12-28 18:44:31,总播放数5055830,历史累计弹幕数55793,点赞数450431,21.8万,4.3万,3.9万,科技·极客DIY,145,12.24 - 12.30
BV1jF411B7sw,【泛式/剧情MAD】无败的陨落，奇迹的复活!「T.E.I.O」,泛式,2021-12-24 17:42:53,总播放数3525737,历史累计弹幕数7450,点赞数380722,42.4万,18.8万,5.1万,动画·MAD·AMV,145,12.24 - 12.30
